s,left,right
2.55,1.771388832662045,1.1007125069975725
2.56,1.7713385449399925,1.0998345170097026
2.57,1.7712842865377645,1.098884876376881
2.58,1.7712270123693818,1.0978988583615796
2.59,1.7711693296707158,1.096979062671662
2.6,1.771113949049788,1.0962323010754011
2.61,1.7710635804611363,1.0957653705804162
2.62,1.7710183618535429,1.0956269726937973
2.63,1.7709700236504435,1.0956759028960685
2.64,1.7709085811036083,1.095732215013992
2.65,1.7708240494648064,1.0956159628743305
2.66,1.7707079124509326,1.0951656624526784
2.67,1.7705658615177722,1.0943984552741552
2.68,1.770411555824607,1.093431656116415
2.69,1.7702587425527936,1.0923836864069174
2.7,1.7701209931016566,1.0913717603184288
2.71,1.770003650554323,1.0904565807115645
2.72,1.7699004839480172,1.089619360973614
2.73,1.7698043928784164,1.0888353432479903
2.74,1.769708276955269,1.088079769687552
2.75,1.7696066586970054,1.0873289721059558
2.76,1.7695001565611208,1.086563375280243
2.77,1.7693908200265924,1.0857643648104673
2.78,1.7692806985723981,1.084913326296681
2.79,1.7691717235786428,1.0839976466926269
2.8,1.7690644802534803,1.0830731204975246
2.81,1.7689586978320795,1.0822390396337014
2.82,1.7688540918357023,1.0815953929141915
2.83,1.7687503820727686,1.0812406502447633
2.84,1.768647565338464,1.0811751472462923
2.85,1.768546079520532,1.0812429438324698
2.86,1.7684464018590984,1.0812741576702223
2.87,1.7683490095942875,1.0810989064264758
2.88,1.7682542777372396,1.0805908684082826
2.89,1.768162139667567,1.0798119048732704
2.9,1.7680724095341818,1.0788746822942856
2.91,1.7679849014841316,1.0778918679384715
2.92,1.76789950667001,1.0769705546941906
2.93,1.767817159751296,1.0761422966986107
2.94,1.7677395464700207,1.0753842777355673
2.95,1.7676683690993074,1.0746724849145792
2.96,1.7676053058096297,1.0739829339676705
2.97,1.7675497617460878,1.0732943399019834
2.98,1.7674970371000995,1.0725902924609754
2.99,1.7674420009465015,1.0718548933499483
3.0,1.7673795223601305,1.0710722442742031
